id,dishName,chef,badgeType,badgeText,rating,reviewsCount,imageUrl,prepEase,flavorProfile,nutritionalValue,complexity,ingredients,instructions,reviewComment
4704,Avocado Chicken Salad,Isabel Castillo,verified,Chef-Verified,4.7,118,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/657b903e39c1469dbfe801e60929bb21.jpeg,95,94,54,42,chicken | salad | avocado | high-protein | lunch | low-carb,In a blender or food processor, combine the yogurt, lime juice, pepper, and chili powder and pulse to combine. Add ½ of the avocado and blend until creamy. || In a large bowl, combine the chicken, celery, onion, and remaining avocado. || Pour the dressing over the chicken mixture and toss gently to coat. Serve immediately or chill.,This chicken salad is a lunchtime delight! Packed with creamy avocado, tender chicken, and crunchy veggies.
4812,Classic Creamy Mushroom Risotto,Massimo Bottura,famous,Global Master,4.9,342,https://images.unsplash.com/photo-1476124369491-e7addf5db371?auto=format&fit=crop&w=600&q=80,70,98,74,56,risotto | mushroom | classic | italian | dinner | creamy,Heat the vegetable stock to a low simmer in a side saucepan. || Sauté onions and mushrooms in olive oil until golden brown. || Add Arborio rice to the pan and toast for 2 minutes. || Add white wine and stir continuously until fully absorbed. || Add stock one ladle at a time, stirring until rice is tender and creamy.,An authentic masterclass selection mapping classic Northern Italian rich mushroom risotto methodology.
5109,Steamed Veggie Buddha Bowl,Alice Waters,verified,Global Master,4.5,88,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?auto=format&fit=crop&w=600&q=80,95,88,41,28,vegan | healthy | buddha bowl | clean | quinoa | broccoli,Cook the tri-color quinoa according to package instructions. || Steam cubed sweet potatoes and broccoli florets until tender. || Arrange cooked quinoa as a base layer inside serving bowls. || Top with steamed vegetables, edamame, and drizzle with tahini dressing.,A clean plant-based meal engineered for clean eating and high nutritional density integrity.
5321,Heirloom Roasted Chicken,Marcus Samuelsson,famous,Chef-Verified,4.8,210,https://images.unsplash.com/photo-1598515214211-89d3c73ae83b?auto=format&fit=crop&w=600&q=80,35,96,91,63,roast chicken | dinner | heirloom | comfort food | poultry,Pat the chicken completely dry inside and out using paper towels. || Season cavity heavily with sea salt and stuff with lemon halves. || Rub softened butter uniformly under and over the skin surface. || Roast at 200°C for 1 hour and 15 minutes until internal temp hits 75°C.,Classic Sunday roast chicken utilizing clean butter rubs and aromatic herb stuffing methods.
5402,Homemade Margherita Pizza,Gennaro Contaldo,verified,Chef-Verified,4.6,185,https://images.unsplash.com/photo-1604068549290-dea0e4a305ca?auto=format&fit=crop&w=600&q=80,80,95,65,49,pizza | dough | neapolitan | cheese | basil | baking,Roll out freshly proofed pizza dough onto a floured surface. || Spread a thin layer of crushed San Marzano tomato sauce. || Distribute fresh mozzarella slices evenly over the surface. || Drizzle with olive oil and bake at 250°C for 8 minutes. Garnish with basil.,Traditional wood-fired taste profile built cleanly within standard baking environments.
5420,Creamy Garlic Butter Shrimp,Alexis Deboschnek,verified,Chef-Verified,4.7,294,https://images.unsplash.com/photo-1559742811-824289528580?auto=format&fit=crop&w=600&q=80,90,92,45,35,shrimp | seafood | garlic | butter | quick | pan-fry,Melt unsalted butter in a wide skillet over medium-high heat. || Add minced garlic and sauté until fragrant, about 1 minute. || Toss in raw peeled shrimp and cook until pink and opaque. || Deglaze pan with white wine, drop parsley, and turn off heat.,A quick pan-fry method providing rich garlic notes and robust protein presentation.
5480,Classic French Onion Soup,Ludo Lefebvre,famous,Global Master,4.9,412,https://images.unsplash.com/photo-1589118949245-7d38baf380d6?auto=format&fit=crop&w=600&q=80,45,99,82,75,soup | onions | french | gruyere | slow-cook | broth,Slice five large yellow onions thinly from root to stem. || Caramelize onions slowly in a Dutch oven with butter for 45 minutes. || Pour in beef bone broth and a splash of sherry, simmer for 30 minutes. || Ladle into bowls, top with toasted baguette slices and grated gruyere cheese. Broil.,Slow-caramelized onion bases paired with rich gruyere crusting limits.
5510,Spicy Tuna Poke Bowl,Sam Choy,verified,Global Master,4.4,145,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?auto=format&fit=crop&w=600&q=80,95,91,38,21,sushi | poke | raw tuna | rice | hawaiian | spicy,Cube sushi-grade ahi tuna into bite-sized segments. || Toss tuna gently in a mixture of sriracha, sesame oil, and soy sauce. || Scoop warm sushi rice into serving bowls. || Arrange dressed tuna, cucumber slices, shredded carrots, and avocado cleanly over rice.,Fresh raw Pacific seafood layers built with clean metric balances.
5590,Old Fashioned Blueberry Pancakes,Martha Stewart,famous,Chef-Verified,4.8,320,https://images.unsplash.com/photo-1528207776546-365bb710ee93?auto=format&fit=crop&w=600&q=80,85,93,60,42,breakfast | pancakes | blueberries | baking | sweet | fluff,Whisk flour, baking powder, sugar, and salt together in a wide bowl. || Pour in whole milk, melted butter, and one egg; stir until just combined. || Fold fresh wild blueberries gently into the thick batter. || Scoop onto a hot greased griddle. Flip when bubbles break surface.,Classic fluffy breakfast textures built with natural fruit inclusions.
5630,Smoked Texas Beef Brisket,Aaron Franklin,famous,Chef-Verified,4.9,560,https://images.unsplash.com/photo-1529193591184-b1d58069ecdd?auto=format&fit=crop&w=600&q=80,15,99,95,90,bbq | brisket | beef | smoked | slow-cook | texas,Trim excess hard fat caps from the raw brisket flat surface. || Apply an equal mixture rub of coarse kosher salt and black pepper. || Fire the smoker with post oak wood to a stable 110°C. || Smoke the meat continuously for 12 hours until internal temperature reads 95°C.,Slow pit smoked comfort food utilizing traditional Central Texas methods.
5680,Crispy Tofu Stir Fry,Ming Tsai,verified,Global Master,4.3,95,https://images.unsplash.com/photo-1512058564366-18510be2db19?auto=format&fit=crop&w=600&q=80,90,87,35,30,tofu | vegan | stir-fry | vegetables | quick | soy-sauce,Press extra-firm tofu between paper towels to extract lingering moisture. || Cube tofu and coat with a thin layer of cornstarch before frying until gold. || Stir fry snap peas, bell peppers, and broccoli in a roaring hot wok. || Return tofu to pan, pour in garlic soy glaze, and toss to incorporate.,Quick-fired clean vegan components bound securely inside hot wok lines.
5710,Authentic Pork Carnitas,Enrique Olvera,famous,Global Master,4.8,245,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?auto=format&fit=crop&w=600&q=80,50,97,78,65,tacos | pork | carnitas | mexican | slow-cook | citrus,Cut pork shoulder into large cubes and place inside a heavy pot. || Add lard, split oranges, condensed milk, garlic, and bay leaves. || Simmer on low heat for 3 hours until fibers pull apart smoothly. || Shred the meat and broil on a baking sheet until the edges turn deeply crispy.,Traditional Mexican configurations producing exceptional texture profile metrics.
